date,1. open,2. high,3. low,4. close,5. volume
2025-08-29,245.23,245.4599,241.72,243.49,2967558
2025-08-28,245.43,245.88,243.36,245.73,2820817
2025-08-27,242.87,245.96,242.0,244.84,3698372
2025-08-26,241.02,244.98,240.38,242.63,5386582
2025-08-25,242.565,242.565,239.43,239.43,3513327
2025-08-22,240.74,243.68,240.22,242.09,3134882
2025-08-21,242.21,242.5,238.65,239.4,2991902
2025-08-20,242.11,242.88,240.34,242.55,3240064
2025-08-19,240.0,242.83,239.49,241.28,3328305
2025-08-18,239.57,241.42,239.1158,239.45,3569594
2025-08-15,237.61,240.62,236.77,239.72,4344322
2025-08-14,238.25,239.0,235.62,237.11,4556725
2025-08-13,236.2,240.8411,236.2,240.07,5663562
2025-08-12,236.53,237.96,233.36,234.77,8800597
2025-08-11,242.24,243.15,234.7,236.3,9381960
2025-08-08,248.88,249.48,241.65,242.27,6828390
2025-08-07,252.81,255.0,248.875,250.16,6251285
2025-08-06,251.53,254.32,249.28,252.28,3692105
2025-08-05,252.0,252.8,248.995,250.67,5823016
2025-08-04,251.05,252.08,248.11,251.98,5280588
2025-08-01,251.405,251.4791,245.61,250.05,9683404
2025-07-31,259.57,259.99,252.22,253.15,6739092
2025-07-30,261.6,262.0,258.9,260.26,3718290
2025-07-29,264.3,265.7999,261.02,262.41,4627265
2025-07-28,260.3,264.0,259.61,263.21,5192516
2025-07-25,260.02,260.8,256.35,259.72,7758653
2025-07-24,261.25,262.0486,252.75,260.51,22647720
2025-07-23,284.3,288.08,281.44,282.01,8105906
2025-07-22,284.74,284.88,281.25,281.96,4824219
2025-07-21,286.29,287.73,284.38,284.71,3051791
2025-07-18,283.38,287.16,282.22,285.87,4478165
2025-07-17,281.5,283.4566,280.9,282.0,3337168
2025-07-16,282.75,283.87,279.87,281.92,2804831
2025-07-15,283.77,284.155,280.7301,282.7,2864106
2025-07-14,282.83,284.925,281.71,283.79,2857401
2025-07-11,285.01,287.43,282.92,283.59,3790679
2025-07-10,288.9,288.9,282.21,287.43,3489068
2025-07-09,291.39,291.6,288.63,290.14,2971309
2025-07-08,293.1,295.61,289.49,290.42,2925329
2025-07-07,292.5,295.2199,290.3607,292.47,4488064
2025-07-03,287.94,292.32,287.9,291.97,1853289
2025-07-02,290.0,290.19,286.9,287.65,3257515
2025-07-01,294.55,295.1081,290.08,291.2,3272797
2025-06-30,290.93,294.81,290.0,294.78,3495386
2025-06-27,292.97,293.12,288.52,289.7,3562501
2025-06-26,291.8,292.91,290.165,291.93,3621110
2025-06-25,294.49,296.16,289.5,291.06,3862309
2025-06-24,290.46,294.3399,288.41,293.79,4219120
2025-06-23,281.65,289.58,280.21,289.18,3786159
2025-06-20,279.28,284.12,277.2,280.97,7676962
2025-06-18,285.0,286.91,282.94,283.21,3534110
2025-06-17,281.15,284.7899,281.0001,283.05,3069556
2025-06-16,279.305,284.5,278.6657,281.83,3685321
2025-06-13,278.205,279.84,275.83,277.22,3243824
2025-06-12,281.53,283.06,279.83,281.03,3418007
2025-06-11,276.7,281.75,275.11,281.52,4656034
2025-06-10,273.19,277.47,272.56,276.24,5163507
2025-06-09,268.1,273.47,266.71,272.08,4331464
2025-06-06,267.99,270.17,267.53,268.87,2495543
2025-06-05,265.2,267.51,265.1,266.86,2659478
2025-06-04,264.9,267.0,264.79,265.52,2588741
2025-06-03,263.35,265.56,262.58,265.2,2494922
2025-06-02,257.85,263.976,257.22,263.9,2831881
2025-05-30,258.75,260.12,257.1,259.06,9668923
2025-05-29,260.75,261.13,256.77,258.69,2295228
2025-05-28,263.16,265.0,259.94,260.24,2318437
2025-05-27,261.0,263.7869,259.63,263.23,3284216
2025-05-23,258.58,259.8696,255.79,258.63,2722721
2025-05-22,260.77,261.2711,257.91,258.37,3091253
2025-05-21,264.97,265.6499,260.41,260.87,3753904
2025-05-20,267.4,269.28,265.6201,266.95,2437860
2025-05-19,265.45,269.135,265.08,268.41,3198903
2025-05-16,266.35,267.98,264.59,266.76,3817937
2025-05-15,259.01,267.43,258.61,266.68,4856276
2025-05-14,257.6,260.55,256.22,257.82,3635124
2025-05-13,254.43,259.58,252.88,258.59,3521389
2025-05-12,252.5,253.81,244.65,253.69,4609520
2025-05-09,252.51,253.0,247.64,249.2,2901346
2025-05-08,255.0,256.52,253.25,254.14,3637012
2025-05-07,249.45,254.47,248.832,253.37,3400001
2025-05-06,247.76,250.19,246.11,249.12,2900556
2025-05-05,243.74,249.8,243.64,249.18,4138168
2025-05-02,243.125,245.69,241.33,245.55,3731946
2025-05-01,241.44,242.37,237.945,239.66,4243294
2025-04-30,236.73,242.47,234.3401,241.82,5142993
2025-04-29,237.0,239.98,236.14,239.39,3426508
2025-04-28,232.86,236.63,232.07,236.16,3653461
2025-04-25,228.95,233.36,226.32,232.41,6700068
2025-04-24,231.175,232.78,224.4401,229.33,15428144
2025-04-23,246.0,249.34,243.66,245.48,7948259
2025-04-22,238.5,242.64,238.02,240.9,4232658
2025-04-21,238.065,240.805,232.93,236.22,4908923
2025-04-17,239.68,241.775,237.4,238.81,4635204
2025-04-16,240.28,243.2999,235.89,238.57,4870299
2025-04-15,239.55,241.53,238.27,240.7,3363708
2025-04-14,239.77,241.77,236.73,239.06,3321717
2025-04-11,229.72,237.58,227.51,235.48,4325895
2025-04-10,231.0,232.57,222.02,229.55,5656108
2025-04-09,217.12,236.3,215.1636,235.31,7302808
2025-04-08,232.56,233.05,217.28,221.03,6849996
